HOY;DOY;Month;Day;Hour;DataLoad
232;10;1;10;16;720
233;10;1;10;17;780
234;10;1;10;18;780
235;10;1;10;19;780
236;10;1;10;20;750
237;10;1;10;21;740
238;10;1;10;22;710
239;10;1;10;23;670
240;10;1;10;24;680
241;11;1;11;1;590
242;11;1;11;2;590
243;11;1;11;3;590
244;11;1;11;4;590
245;11;1;11;5;580
246;11;1;11;6;590
247;11;1;11;7;620
248;11;1;11;8;640
249;11;1;11;9;770
250;11;1;11;10;720
251;11;1;11;11;750
252;11;1;11;12;760
253;11;1;11;13;750
254;11;1;11;14;720
255;11;1;11;15;750
256;11;1;11;16;720
257;11;1;11;17;780
258;11;1;11;18;780
259;11;1;11;19;780
260;11;1;11;20;750
261;11;1;11;21;740
262;11;1;11;22;710
263;11;1;11;23;670
264;11;1;11;24;680
265;12;1;12;1;590
266;12;1;12;2;590
267;12;1;12;3;590
268;12;1;12;4;590
269;12;1;12;5;580
270;12;1;12;6;590
271;12;1;12;7;620
272;12;1;12;8;640
273;12;1;12;9;770
274;12;1;12;10;720
275;12;1;12;11;750
276;12;1;12;12;760
277;12;1;12;13;750
278;12;1;12;14;720
279;12;1;12;15;750
280;12;1;12;16;720
281;12;1;12;17;780
282;12;1;12;18;780
283;12;1;12;19;780
284;12;1;12;20;750
285;12;1;12;21;740
286;12;1;12;22;710
287;12;1;12;23;670
288;12;1;12;24;680
289;13;1;13;1;590
290;13;1;13;2;590
291;13;1;13;3;590
292;13;1;13;4;590
293;13;1;13;5;580
294;13;1;13;6;590
295;13;1;13;7;620
296;13;1;13;8;640
297;13;1;13;9;770
298;13;1;13;10;720
299;13;1;13;11;750
300;13;1;13;12;760
301;13;1;13;13;750
302;13;1;13;14;720
303;13;1;13;15;750
304;13;1;13;16;720
305;13;1;13;17;780
306;13;1;13;18;780
307;13;1;13;19;780
308;13;1;13;20;750
309;13;1;13;21;740
310;13;1;13;22;710
311;13;1;13;23;670
312;13;1;13;24;680
313;14;1;14;1;590
314;14;1;14;2;590
315;14;1;14;3;590
316;14;1;14;4;590
317;14;1;14;5;580
318;14;1;14;6;590
319;14;1;14;7;620
320;14;1;14;8;640
321;14;1;14;9;770
322;14;1;14;10;720
323;14;1;14;11;750
324;14;1;14;12;760
325;14;1;14;13;750
326;14;1;14;14;720
327;14;1;14;15;750
328;14;1;14;16;720
329;14;1;14;17;780
330;14;1;14;18;780
331;14;1;14;19;780
332;14;1;14;20;750
333;14;1;14;21;740
334;14;1;14;22;710
335;14;1;14;23;670
336;14;1;14;24;680
337;15;1;15;1;590
338;15;1;15;2;590
339;15;1;15;3;590
340;15;1;15;4;590
341;15;1;15;5;580
342;15;1;15;6;590
343;15;1;15;7;620
344;15;1;15;8;640
345;15;1;15;9;770
346;15;1;15;10;720
347;15;1;15;11;750
348;15;1;15;12;760
349;15;1;15;13;750
350;15;1;15;14;720
351;15;1;15;15;750
352;15;1;15;16;720
353;15;1;15;17;780
354;15;1;15;18;780
355;15;1;15;19;780
356;15;1;15;20;750
357;15;1;15;21;740
358;15;1;15;22;710
359;15;1;15;23;670
360;15;1;15;24;680
361;16;1;16;1;590
362;16;1;16;2;590
363;16;1;16;3;590
364;16;1;16;4;590
365;16;1;16;5;580
366;16;1;16;6;590
367;16;1;16;7;620
368;16;1;16;8;640
369;16;1;16;9;770
370;16;1;16;10;720
371;16;1;16;11;750
372;16;1;16;12;760
373;16;1;16;13;750
374;16;1;16;14;720
375;16;1;16;15;750
376;16;1;16;16;720
377;16;1;16;17;780
378;16;1;16;18;780
379;16;1;16;19;780
380;16;1;16;20;750
381;16;1;16;21;740
382;16;1;16;22;710
383;16;1;16;23;670
384;16;1;16;24;680
385;17;1;17;1;590
386;17;1;17;2;590
387;17;1;17;3;590
388;17;1;17;4;590
389;17;1;17;5;580
390;17;1;17;6;590
391;17;1;17;7;620
392;17;1;17;8;640
393;17;1;17;9;770
394;17;1;17;10;720
395;17;1;17;11;750
396;17;1;17;12;760
397;17;1;17;13;750
398;17;1;17;14;720
399;17;1;17;15;750
400;17;1;17;16;720
401;17;1;17;17;780
402;17;1;17;18;780
403;17;1;17;19;780
404;17;1;17;20;750
405;17;1;17;21;740
406;17;1;17;22;710
407;17;1;17;23;670
408;17;1;17;24;680
409;18;1;18;1;590
410;18;1;18;2;590
411;18;1;18;3;590
412;18;1;18;4;590
413;18;1;18;5;580
414;18;1;18;6;590
415;18;1;18;7;620
416;18;1;18;8;640
417;18;1;18;9;770
418;18;1;18;10;720
419;18;1;18;11;750
420;18;1;18;12;760
421;18;1;18;13;750
422;18;1;18;14;720
423;18;1;18;15;750
424;18;1;18;16;720
425;18;1;18;17;780
426;18;1;18;18;780
427;18;1;18;19;780
428;18;1;18;20;750
429;18;1;18;21;740
430;18;1;18;22;710
431;18;1;18;23;670
432;18;1;18;24;680
433;19;1;19;1;590
434;19;1;19;2;590
435;19;1;19;3;590
436;19;1;19;4;590
437;19;1;19;5;580
438;19;1;19;6;590
439;19;1;19;7;620
440;19;1;19;8;640
441;19;1;19;9;770
442;19;1;19;10;720
443;19;1;19;11;750
444;19;1;19;12;760
445;19;1;19;13;750
446;19;1;19;14;720
447;19;1;19;15;750
448;19;1;19;16;720
449;19;1;19;17;780
450;19;1;19;18;780
451;19;1;19;19;780
452;19;1;19;20;750
453;19;1;19;21;740
454;19;1;19;22;710
455;19;1;19;23;670
456;19;1;19;24;680
457;20;1;20;1;590
458;20;1;20;2;590
459;20;1;20;3;590
460;20;1;20;4;590
461;20;1;20;5;580
462;20;1;20;6;590
463;20;1;20;7;620
464;20;1;20;8;640
465;20;1;20;9;770
466;20;1;20;10;720
467;20;1;20;11;750
468;20;1;20;12;760
469;20;1;20;13;750
470;20;1;20;14;720
471;20;1;20;15;750
472;20;1;20;16;720
473;20;1;20;17;780
474;20;1;20;18;780
475;20;1;20;19;780
476;20;1;20;20;750
477;20;1;20;21;740
478;20;1;20;22;710
479;20;1;20;23;670
480;20;1;20;24;680
481;21;1;21;1;590
482;21;1;21;2;590
483;21;1;21;3;590
484;21;1;21;4;590
485;21;1;21;5;580
486;21;1;21;6;590
487;21;1;21;7;620
488;21;1;21;8;640
489;21;1;21;9;770
490;21;1;21;10;720
491;21;1;21;11;750
492;21;1;21;12;760
493;21;1;21;13;750
494;21;1;21;14;720
495;21;1;21;15;750
496;21;1;21;16;720
497;21;1;21;17;780
498;21;1;21;18;780
499;21;1;21;19;780
500;21;1;21;20;750
501;21;1;21;21;740
502;21;1;21;22;710
503;21;1;21;23;670
504;21;1;21;24;680
505;22;1;22;1;590
506;22;1;22;2;590
507;22;1;22;3;590
508;22;1;22;4;590
509;22;1;22;5;580
510;22;1;22;6;590
511;22;1;22;7;620
512;22;1;22;8;640
513;22;1;22;9;770
514;22;1;22;10;720
515;22;1;22;11;750
516;22;1;22;12;760
517;22;1;22;13;750
518;22;1;22;14;720
519;22;1;22;15;750
520;22;1;22;16;720
521;22;1;22;17;780
522;22;1;22;18;780
523;22;1;22;19;780
524;22;1;22;20;750
525;22;1;22;21;740
526;22;1;22;22;710
527;22;1;22;23;670
528;22;1;22;24;680
529;23;1;23;1;590
530;23;1;23;2;590
531;23;1;23;3;590
532;23;1;23;4;590
533;23;1;23;5;580
534;23;1;23;6;590
535;23;1;23;7;620
536;23;1;23;8;640
537;23;1;23;9;770
538;23;1;23;10;720
539;23;1;23;11;750
